Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,0.9908643710470836,0.9850100893629288,0.9879518072289156,0.9873463485177151,0.9954507857733664
0.02,0.975228390723823,0.9668492360910925,0.9795180722891567,0.970354302241504,0.9871794871794872
0.03,0.9617006324666199,0.9573364081867973,0.9614457831325302,0.9577006507592191,0.9693961952026469
0.04,0.94975404075896,0.9299509945229173,0.9481927710843373,0.9436008676789588,0.9532671629445822
0.05,0.9427266338721012,0.9175554914961084,0.9339759036144578,0.9342010122921186,0.9474772539288668
0.06,0.9279690794096979,0.9037186509080427,0.9163855421686747,0.9244396240057845,0.9354838709677419
0.07,0.9221714687280393,0.8956471605650044,0.9043373493975904,0.913593637020969,0.9205955334987593
0.08,0.9142656359803233,0.8838281925626982,0.8918072289156627,0.9045553145336226,0.9086021505376344
0.09,0.8917779339423753,0.8737388296339003,0.8783132530120482,0.8947939262472885,0.8966087675765095
0.1,0.8833450456781448,0.8622081291438455,0.8689156626506024,0.8756326825741142,0.8833746898263027
0.11,0.8749121574139143,0.8486595560680311,0.8621686746987952,0.8694866232827188,0.8738626964433416
0.12,0.865425158116655,0.8351109829922168,0.8436144578313253,0.8546637744034707,0.8655913978494624
0.13,0.8555867884750527,0.825886422600173,0.8272289156626506,0.8423716558206796,0.8507030603804797
0.14,0.8478566408995081,0.8166618622081292,0.8178313253012048,0.8329718004338394,0.8411910669975186
0.15,0.8415319747013352,0.8085903718650908,0.8079518072289157,0.82176428054953,0.8341604631927213
0.16,0.8318692902319045,0.7936004612280196,0.795421686746988,0.8138105567606653,0.8242349048800661
0.17,0.817111735769501,0.7858172383972326,0.7910843373493975,0.8011569052783803,0.8147229114971051
0.18,0.8095572733661279,0.7745748054194292,0.7848192771084337,0.7910339840925524,0.804383788254756
0.19,0.8004216444132115,0.7670798501008936,0.7732530120481927,0.779826464208243,0.7952853598014888
0.2,0.7891777933942375,0.7561256846353416,0.7619277108433735,0.7664497469269703,0.7853598014888338
0.21,0.7737174982431483,0.7451715191697895,0.7489156626506024,0.7610267534345625,0.7808105872622002
0.22,0.7570274068868588,0.737676563851254,0.7325301204819277,0.7487346348517715,0.770885028949545
0.23,0.7452565003513704,0.733064283655232,0.7187951807228916,0.734996384671005,0.7588916459884202
0.24,0.7324314827828531,0.7226866532141828,0.7031325301204819,0.7208966015907448,0.7510339123242349
0.25,0.7255797610681658,0.7137503603343903,0.6949397590361446,0.7049891540130152,0.7448304383788255
0.26,0.7164441321152495,0.7062554050158547,0.6814457831325301,0.6952277657266811,0.7324234904880066
0.27,0.7060787069571328,0.6987604496973191,0.6732530120481928,0.6887201735357917,0.7229114971050455
0.28,0.691145467322558,0.6904006918420295,0.6595180722891566,0.6789587852494577,0.7096774193548387
0.29,0.6751581166549543,0.6745459786682041,0.6513253012048192,0.6677512653651483,0.7026468155500414
0.3,0.6625087842586086,0.6667627558374172,0.6387951807228915,0.6597975415762835,0.6976840363937138
