Alpha,Std
0.01,0.004009803234942749
0.02,0.00795945934650063
0.03,0.004851864938359558
0.04,0.009076891600722697
0.05,0.011414962095467303
0.06,0.012127692729899399
0.07,0.011217638300360206
0.08,0.012500341956440073
0.09,0.010334526299370043
0.1,0.009224454428423887
0.11,0.010823694032405712
0.12,0.01345112178428545
0.13,0.01346096630829853
0.14,0.013878316944375312
0.15,0.015028323883598269
0.16,0.0170361172841505
0.17,0.013892255248171172
0.18,0.014264743052570663
0.19,0.014254998510563499
0.2,0.014642635103118576
0.21,0.015382272168006908
0.22,0.015348078284676311
0.23,0.014925851336303185
0.24,0.017521403288122503
0.25,0.019296726400233586
0.26,0.019529791580673618
0.27,0.018607389774006066
0.28,0.018420880561847704
0.29,0.01854090396710423
0.3,0.021161626235252702
